große Flexibilität,Flexibilität
vorgegebenen GPS-Koordinaten,GPS Koordinaten
TELEFUNKEN RACOMS,TELEFUNKEN RACOMS
hohe Festigkeit,Festigkeit
Logistik- und Sanitätseinheiten,Logistik Sanitätseinheiten
Aufklärung und Evakuierung,Aufklärung Evakuierung
unbemannten Systeme IRIS,Systeme IRIS
bordeigene Kameraeinheit,Kameraeinheit
engen Einsatzgebieten,Einsatzgebieten
ABC-Schutz,ABC Schutz
Aufklärung und Kampfmittelbeseitigung,Aufklärung Kampfmittelbeseitigung
UAV,UAV
Überwindung,Überwindung
MTGR-Systems,MTGR Systems
Effektivität,Effektivität
Zahlreiche Haltepunkte,Zahlreiche Haltepunkt
ihre Interoperabilität,Interoperabilität
auch das Durchqueren,Durchqueren
nur einen Operator,Operator
ferngesteuerten Waffenstationen,Waffenstationen
Taktische Aufklärung IRIS,Taktische Aufklärung IRIS
Intelligenz,Intelligenz
MTGR und PROBOT,MTGR PROBOT
Umgebung,Umgebung
seine hohe Manövrierfähigkeit,Manövrierfähigkeit
"1,95 m Länge",Länge
Kampfmittelbeseitigung und Gefahrstoffe,Kampfmittelbeseitigung Gefahrstoffe
einfache Fixierung,Fixierung
CONNECTING,CONNECTING
auch Werkzeugen,Werkzeug
Kampfmittelbeseitigung,Kampfmittelbeseitigung
Wattiefe,Wattiefe
Aufgabenspektrum,Aufgabenspektrum
effiziente Rollenverteilung,Rollenverteilung
UGV-Systemlösungen,UGV Systemlösungen
TIGR,TIGR
Ladegut,Ladegut
seiner Komponenten,Komponente
richtungsweisende Technologien,Technologie
seines modularen Aufbaus,Aufbau
Observationskameras,Observationskameras
Gegenstände,Gegenstand
Unbemannte Landfahrzeuge,Unbemannte Landfahrzeuge
Krisen,Krise
Kampfmittelbeseitigung und ABCAbwehr,Kampfmittelbeseitigung ABCAbwehr
einer Raupenkette,Raupenkette
"extremen 
Einsatzbedingungen",Einsatzbedingungen
Aufklärungsoperationen,Aufklärungsoperationen
Konvoi-Modus,Konvoi Modus
Fenster,Fenster
alternativen Antriebsformen,Antriebsformen
logistischer Unterstützung,Unterstützung
einer deutschen Polizei,Polizei
taktischen Operationen,Operation
mehrere PROBOTS,PROBOTS
Aufgabenbereich,Aufgabenbereich
Rollen,Rolle
einer Höhe,Höhe
Untergrundund Kanalinspektionen,Untergrundund Kanalinspektionen
Röntgen-Scanner,Röntgen Scanner
Gelände,Gelände
Manipulator,Manipulator
Mensch-Maschine-Schnittstellen,Maschine Schnittstellen
einer Brennstoffzelle,Brennstoffzelle
